state,county,fips,adult_pop,observed_distress,loneliness_rate,access_to_exercise,social_associations,air_pollution,uninsured,unemployment_rate,providers_per_100k,log_median_hh_income,rucc_category
NC,Iredell,37097,"155,704",15.9,31.2,71.46973908999999,11.035150993,9.5,15.26541436,4.610079460000001,227.64210999999997,11.152443282688543,metro
NC,Currituck,37053,"24,619",15.8,29.8,76.38790036,9.9821010602,6.6,13.77765173,4.10130144,53.957440000000005,11.32368804865453,metro
NC,Polk,37149,"17,006",14.5,28.8,61.18067053,16.167379933,7.8,16.25022965,4.67382877,188.23769,10.969301129452852,rural
NC,Madison,37115,"18,349",16.3,30.7,90.01557118,8.2796688132,6.6,14.79813283,4.271017349999999,199.98139999999998,10.856090927068603,metro
NC,Clay,37043,"10,069",14.7,29.2,99.79258725,12.168622338,7.0,18.87563884,4.91183879,141.48024,10.850055275294554,rural
NC,Burke,37023,"72,201",17.3,32.8,59.79102432,13.714083479,8.2,18.15747794,4.54105542,312.74611999999996,10.892247772124053,metro
NC,Alexander,37003,"29,341",17.5,32.5,47.2560641,14.689778585,8.4,14.910196710000001,4.22380374,62.76607,10.877839623823553,metro
NC,Caswell,37033,"18,569",17.2,33.9,39.743138630000004,13.812770129,8.0,16.10873395,5.30982793,44.02571,10.837205543732809,rural
NC,Northampton,37131,"13,758",16.5,33.6,20.29649133,14.145012573,7.9,13.56727532,6.2273613800000005,81.73272999999999,10.609649670173567,rural
NC,Watauga,37189,"48,121",19.0,33.9,86.49927893,13.28821247,6.7,14.87417528,3.65909491,483.09179000000006,10.918410213817882,mid
NC,Wilson,37195,"60,928",18.1,33.3,68.13820065,9.7585967138,7.9,18.69780423,6.73266734,206.71438999999998,10.795014169263665,mid
NC,Granville,37077,"49,581",17.0,33.1,47.84725866,11.73825348,8.4,15.618246599999999,3.98429302,369.43826,11.046355932458775,mid
NC,Surry,37171,"56,528",17.7,32.0,47.54410796,12.694781189,8.1,17.66234397,4.35162913,130.70609,10.8555314541161,mid
NC,Stokes,37169,"37,073",16.9,32.1,54.685534589999996,7.8700566207,8.2,16.26342587,4.21944947,58.357459999999996,10.964103711276094,metro
NC,Durham,37063,"271,458",15.3,32.3,89.74272934000001,10.173965647,8.1,15.914907549999999,4.0983091,715.9809399999999,11.17655722294139,metro
NC,Forsyth,37067,"304,926",16.4,33.0,78.02451711,10.707502807,9.5,15.18623348,4.90322159,354.06448,11.005892639442934,metro
NC,Buncombe,37021,"227,608",15.3,29.9,74.83113876,12.448904458,6.2,17.28696947,4.19106249,753.4968,11.064103903312146,metro
NC,Lee,37105,"51,479",17.5,34.1,74.80129572999999,14.433948647,8.4,19.50689511,5.3945186,191.77399,10.945159050741427,mid
NC,Pender,37141,"53,105",16.5,31.5,62.08162384,8.0406983037,6.1,14.78841276,4.21454621,141.6859,11.14987308549367,metro
NC,Lenoir,37107,"42,399",18.5,34.0,64.11777512,13.99856425,7.1,16.67368694,4.95351432,151.7201,10.697475048022145,mid
NC,Cumberland,37051,"252,626",18.4,36.9,78.14643531,8.9486389744,7.4,15.169059030000001,6.87921472,416.38351,10.867863438213538,metro
NC,Chowan,37041,"11,123",16.7,32.9,32.7837759,13.029315961,6.6,12.954915810000001,4.93647913,123.88865,10.79072015681027,rural
